NAME,WIDTH,PRICE,POWER,GRASS,AREA,DESCRIPTION
Champion NPI256,41.0,22000.0,1.55,30.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Nakita CPA252,44.0,37000.0,1.85,60.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Champion XUB235,33.0,15000.0,1.5,40.0,600.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Gardez GYW727,,39000.0,1.65,50.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Gardez WBB365,30.0,25000.0,1.45,70.0,350.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Bear YXK272,43.0,42000.0,0.85,40.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Nakita YKK799,35.0,20000.0,1.75,75.0,600.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Champion SVB864,33.0,47000.0,0.95,40.0,500.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Bear EUZ148,34.0,49000.0,1.95,75.0,400.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Wolf JGN773,39.0,14000.0,1.0,30.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Cooper RCR719,38.0,36000.0,0.95,65.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Nakita TRV956,31.0,12000.0,1.95,35.0,250.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Champion FFA517,44.0,44000.0,1.3,70.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Boch ATS658,,45000.0,1.2,30.0,250.0,Узкая ширина скашиваемой полосы на данной газонокосилке помогает сохранить красоту и форму газона.
Cooper GKI494,39.0,44000.0,1.4,75.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Cooper AEA582,36.0,9000.0,1.35,45.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Gardez TGZ222,38.0,43000.0,1.7,35.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Gardez MZT328,37.0,15000.0,1.9,55.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
Wolf UIM773,44.0,23000.0,1.5,30.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и эффективно обрезать траву на больших площадях.
Nakita CKS746,38.0,36000.0,0.9,30.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет легко и быстро поддерживать средний размер газона.
