,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_id,nameRu,nameEn,year,posterUrl,posterUrlPreview,countries[0].country,countries[1].country,countries[2].country,genres[0].genre,genres[1].genre,genres[2].genre,duration,directors[0].directorRu,directors[1].directorRu,directors[2].directorRu,directors[3].directorRu,directors[4].directorRu,directors[5].directorRu,directors[6].directorRu,directors[7].directorRu,directors[8].directorRu,directors[9].directorRu,directors[10].directorRu,directors[11].directorRu,directors[12].directorRu,directors[13].directorRu,directors[14].directorRu,directors[15].directorRu,directors[16].directorRu,directors[17].directorRu,directors[18].directorRu,directors[19].directorRu,directors[20].directorRu,directors[21].directorRu,directors[22].directorRu,directors[23].directorRu,directors[24].directorRu,directors[25].directorRu,directors[26].directorRu,directors[27].directorRu,directors[28].directorRu,directors[29].directorRu,directors[30].directorRu,directors[31].directorRu,directors[32].directorRu,directors[33].directorRu,directors[34].directorRu,directors[35].directorRu,directors[0].directorEn,directors[1].directorEn,directors[2].directorEn,directors[3].directorEn,directors[4].directorEn,directors[5].directorEn,directors[6].directorEn,directors[7].directorEn,directors[8].directorEn,directors[9].directorEn,directors[10].directorEn,directors[11].directorEn,directors[12].directorEn,directors[13].directorEn,directors[14].directorEn,directors[15].directorEn,directors[16].directorEn,directors[17].directorEn,directors[18].directorEn,directors[19].directorEn,directors[20].directorEn,directors[21].directorEn,directors[22].directorEn,directors[23].directorEn,directors[24].directorEn,directors[25].directorEn,directors[26].directorEn,directors[27].directorEn,directors[28].directorEn,directors[29].directorEn,directors[30].directorEn,directors[31].directorEn,directors[32].directorEn,directors[33].directorEn,directors[34].directorEn,directors[35].directorEn,filmId,type,amount,cur,directors,rating
0,0,0,0,0,647385e537c1458c9452b5ba,И целого мира мало,The World Is Not Enough,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/6585.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/6585.jpg,Великобритания,США,,боевик,триллер,приключения,128.0,Майкл Аптед,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Apted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6585,BUDGET,135000000.0,USD,1,7.034
3,3,3,3,3,647385e537c1458c9452b5bd,Паутина лжи,Random Hearts,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/2761.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/2761.jpg,США,,,драма,мелодрама,детектив,133.0,Сидни Поллак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sydney Pollack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761,BUDGET,64000000.0,USD,1,6.053
8,8,8,8,8,647385e637c1458c9452b5c2,Сбежавшая невеста,Runaway Bride,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/2520.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/2520.jpg,США,,,мелодрама,комедия,,116.0,Гэрри Маршалл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garry Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,BUDGET,70000000.0,USD,1,6.838
9,9,9,9,9,647385e637c1458c9452b5c3,Хорошие и плохие,,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/41237.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/41237.jpg,Россия,,,боевик,мелодрама,,102.0,Анатолий Артамонов,Дмитрий Фикс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41237,,0.0,,0,4.694
10,10,10,10,10,647385e637c1458c9452b5c4,Стигматы,Stigmata,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/4140.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4140.jpg,США,Мексика,,ужасы,триллер,детектив,97.0,Руперт Уэйнрайт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rupert Wainwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4140,BUDGET,29000000.0,USD,1,6.857
11,11,11,11,11,647385e737c1458c9452b5c5,Кровавое лето Сэма,Summer of Sam,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/4309.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4309.jpg,США,,,триллер,драма,мелодрама,136.0,Спайк Ли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spike Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4309,BUDGET,22000000.0,USD,1,6.695
18,18,18,18,18,647385e837c1458c9452b5cc,Фортуна,,2000,https://kinopoiskapiunofficial.tech/images/posters/kp/41171.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/41171.jpg,Россия,,,комедия,,,85.0,Георгий Данелия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41171,,0.0,,0,6.319
19,19,19,19,19,647385e837c1458c9452b5cd,Сонная Лощина,Sleepy Hollow,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/5622.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/5622.jpg,США,Германия,,триллер,фэнтези,ужасы,105.0,Тим Бёртон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5622,BUDGET,100000000.0,USD,1,7.935
20,20,20,20,20,647385e837c1458c9452b5ce,Последняя песнь Мифуне,Mifunes sidste sang,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/23337.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/23337.jpg,Дания,Швеция,,драма,мелодрама,комедия,98.0,Сёрен Краг-Якобсен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Søren Kragh-Jacobsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23337,USA,512434.0,USD,1,7.176
21,21,21,21,21,647385e837c1458c9452b5cf,Пёс-призрак: Путь самурая,Ghost Dog: The Way of the Samurai,1999,https://kinopoiskapiunofficial.tech/images/posters/kp/4766.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4766.jpg,Франция,Германия,США,драма,криминал,боевик,116.0,Джим Джармуш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Jarmusch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4766,USA,3308029.0,USD,1,7.747
